ICD10,PHECODE,Excl. Phecodes,Excl. Phenotypes
M91.1,732.1,730-739.99,"OSTEOPATHIES, CHONDROPATHIES, AND ACQUIRED MUSCULOSKELETAL DEFORMITIES"
P24.3,656.2,656-656.99,Other and unspecified perinatal conditions
Q52.9,751.1,750-751.99," congenital anomalies of gi, urinary tract"
L66.3,704.8,703-704.99, Diseases of hair and nails
S55.0,1007,,
R93.2,575.9,574-576.99, Biliary tract disease
F51.2,327.6,327-328.99,Sleep disorders
Q27.4,747,747-747.99," congenital anomalies, circulatory and cardiac"
K04.8,522,520-526.99, Disorders of teeth and jaw
Q28.1,747,747-747.99," congenital anomalies, circulatory and cardiac"
R86.2,609.2,600-609.99, male genital disorders
R61.9,705.8,705-706.99, disorders of sweat and sebaceous glands
G46.1,433.31,430-438.99,CEREBROVASCULAR DISEASE
L64,704.1,703-704.99, Diseases of hair and nails
B48.8,117,110-118.99, Mycoses
F05.9,290.2,290-292.99, dementia and related cognitive disorders/symptoms
Q92.9,758.1,756-759.99, All other congenital anomalies
L92,701.5,700-701.99, hypertrophic skin conditions
N70.1,614.32,614-616.99,INFLAMMATORY DISEASE OF FEMALE PELVIC ORGANS
D36.7,229,229-229.99,Benign neoplasm of other and unspecified sites
C69.0,190,"224-225.99, 190-192.99"," cancer/benign neoplasm of eye, brain, nervous system"
S92.9,801,800-809.99, Fractures
C34.2,165.1,160-165.99,Malignant neoplasm of respiratory and intrathoracic organs
O67.8,635.2,634-636.99,complications of pregnancy
G24.5,333.4,"330-337.99, 341-349.99", hereditary/degenerative nervous conditions; other diseases of CNS
M34.2,709.3,"690-697.99, 708-709.99",
T02.8,1009,,
K40,550.1,550-550.99, Abdominal hernia
M12.8,716,710-716.99,Arthropathies
X18,1014,,
Y65.2,1011,,
Q70.3,755.3,754-756.99, congenital musculoskeletal anomalies
O04.8,634,634-636.99,complications of pregnancy
I61.5,430.2,430-438.99,CEREBROVASCULAR DISEASE
J15.3,480.1,480-488.99, Pneumonia and influenza
F65.1,302,295-306.99, psychological disorders
P54.2,656.4,656-656.99,Other and unspecified perinatal conditions
O74.0,668,660-669.99,COMPLICATIONS OCCURRING MAINLY IN THE COURSE OF LABOR AND DELIVERY
S92.9,801.1,800-809.99, Fractures
T49.8,976,960-979.99,"Poisoning By Drugs, Medicinal And Biological Substances"
R87.3,1010,,
B21.2,71.1,,
O06,634.3,634-636.99,complications of pregnancy
Q38.2,750.13,750-751.99," congenital anomalies of gi, urinary tract"
G13.2,331,"330-337.99, 341-349.99", hereditary/degenerative nervous conditions; other diseases of CNS
D03.9,172.11,172-173.99,Malignant neoplasm of skin
S63.3,840,840-848.99,Sprains And Strains Of Joints And Adjacent Muscles
G80.1,343,"330-337.99, 341-349.99", hereditary/degenerative nervous conditions; other diseases of CNS
Q43.6,750.21,750-751.99," congenital anomalies of gi, urinary tract"
S67,1006,,
N82.9,617,617-618.99, prolapse/fistula and other disorders often associated with childbirth
R94.4,589,580-590.99, diseases of kidney and ureters
M72,728.7,725-729.99,"Rheumatism, Excluding The Back"
M92.7,732.1,730-739.99,"OSTEOPATHIES, CHONDROPATHIES, AND ACQUIRED MUSCULOSKELETAL DEFORMITIES"
L24.1,939,930-949.99, allergic reactions
M72.5,772,772-772.99, Other muscular symptoms
T59.8,987,981-989.99, Toxic effects of substances chiefly nonmedicinal as to source
Q44.4,750.22,750-751.99," congenital anomalies of gi, urinary tract"
E51,261.2,260-264.99,Nutritional deficiencies
L13.9,695.2,690-697.99, Other inflammatory condition of skin
H04.2,375.2,375-379.99, other eye disorders
L98.3,681,680-686.99, Skin and subcutaneous tissue infections
D63.0,285.22,280-285.99,Anemias
B35-B49.9,117,110-118.99, Mycoses
A35,41,,
D12.0,208,"153-153.99, 208-208.99", Benign and malignant neoplasm of colon
B42.8,117,110-118.99, Mycoses
T80.8,1011,,
S64.9,907,905-909.99,"Late effects of injuries, poisonings, toxic effects, and other external causes"
C72.0,191.1,"224-225.99, 190-192.99"," cancer/benign neoplasm of eye, brain, nervous system"
O71.7,665,660-669.99,COMPLICATIONS OCCURRING MAINLY IN THE COURSE OF LABOR AND DELIVERY
C00.8,145.1,"140-149.99, 210-210.99","Cancer/benign neoplams of lip, oral cavity, pharynx"
K57.8,562.1,555-564.99, noninfective gastrointestinal disorders
B97.7,79,,
B77.0,134.1,130-136.99, Other infections; including parasitic
P23.9,656,656-656.99,Other and unspecified perinatal conditions
I88.8,289.4,288-289.99,Other diseases of the blood
I61.6,430.2,430-438.99,CEREBROVASCULAR DISEASE
I23.2,411.2,410-414.99,ISCHEMIC HEART DISEASE
N05.6,580.32,580-590.99, diseases of kidney and ureters
B07,78,,
D68.2,286.12,286-287.99,COAGULATION OR HEMORRHAGIC DISEASES
C44.5,172.2,172-173.99,Malignant neoplasm of skin
Q93.5,758.1,756-759.99, All other congenital anomalies
C04.1,145.5,"140-149.99, 210-210.99","Cancer/benign neoplams of lip, oral cavity, pharynx"
C00-C14.9,149,"140-149.99, 210-210.99","Cancer/benign neoplams of lip, oral cavity, pharynx"
A32,41,,
F72.9,315.3,312-315.99,Developmental/behavioral disorders
P36.2,657,657-657.99,Infections specific to the perinatal period
N81.2,618.2,617-618.99, prolapse/fistula and other disorders often associated with childbirth
M23,835,830-839.99, joint disorders and dislocations; trauma-related
O62,661,660-669.99,COMPLICATIONS OCCURRING MAINLY IN THE COURSE OF LABOR AND DELIVERY
J82,505,500-509.99, Pneumoconioses and other lung diseases
W00-W19.9,781,781-781.99, Symptoms involving nervous and musculoskeletal systems
P58.0,656.8,656-656.99,Other and unspecified perinatal conditions
B71.9,134.1,130-136.99, Other infections; including parasitic
A16.3,10,,
C34.9,165.1,160-165.99,Malignant neoplasm of respiratory and intrathoracic organs
S33.3,1009,,
G06.1,324,320-326.9,INFLAMMATORY DISEASES OF THE CENTRAL NERVOUS SYSTEM
L10.5,695.22,690-697.99, Other inflammatory condition of skin
Q26.9,747.13,747-747.99," congenital anomalies, circulatory and cardiac"
T86.8,851,850-859.99, Complications
R16.1,579.2,578-579.99, Other diseases of digestive system
L98.9,689,689-689.99, Other skin disorders NOS
J17,480.3,480-488.99, Pneumonia and influenza
D86.0,697,690-697.99, Other inflammatory condition of skin
B36,110.2,110-118.99, Mycoses
D06,180.3,"174-184.99, 218-218.99, 792-792.99", cancer of female genital organs; benign neoplasm of uterus; abnormal pap smear
Z92.3,990,990-995.99,Other and unspecified effects of external causes
S33.3,915,910-919.99,"superficial, contusion, crushing injuries"
S33.3,830,830-839.99, joint disorders and dislocations; trauma-related
S83.2,830,830-839.99, joint disorders and dislocations; trauma-related
T18,1001,,
E72.4,270.21,269-270.99, Disorders of amino-acid transport/metabolism
Q20.6,747.11,747-747.99," congenital anomalies, circulatory and cardiac"
I37.0,395.4,394-399.99, heart valve disorders
K00,520,520-526.99, Disorders of teeth and jaw
D30.9,223,210-229.99,Benign Neoplasms
B39,117.1,110-118.99, Mycoses
L30.0,939,930-949.99, allergic reactions
S12.8,805,800-809.99, Fractures
F52.7,302,295-306.99, psychological disorders
P55.1,656.1,656-656.99,Other and unspecified perinatal conditions
Z83.3,1100,,
M19.1,836,830-839.99, joint disorders and dislocations; trauma-related
L44.1,695.7,690-697.99, Other inflammatory condition of skin
P78.8,656.6,656-656.99,Other and unspecified perinatal conditions
L87.2,701.1,700-701.99, hypertrophic skin conditions
L01.0,686.2,680-686.99, Skin and subcutaneous tissue infections
M65,727.1,725-729.99,"Rheumatism, Excluding The Back"
N88.9,619.3,619-619.99, Other noninflammatory female genital disorders
B48.3,117,110-118.99, Mycoses
S23.1,830,830-839.99, joint disorders and dislocations; trauma-related
F52.7,605,600-609.99, male genital disorders
K70.2,317.11,316-319.99, Substance-related disorders
R00.2,427.9,426-427.99, cardiac conduction disorders
C77.3,198.1,195-199.99,"Neoplasms: malignant, secondary or uncertain"
O33.6,652,652-654.99,Other and unspecified complications of birth affecting mother
T12,800,800-809.99, Fractures
X45,981,981-989.99, Toxic effects of substances chiefly nonmedicinal as to source
E50.0,261.1,260-264.99,Nutritional deficiencies
L93.1,695.41,"690-697.99, 335-335.99"," other inflammatory condition of skin, MS"
A23.9,41,,
P76.9,656.6,656-656.99,Other and unspecified perinatal conditions
P01.9,658,658-658.99,Maternal complication of pregnancy affecting fetus or newborn
J70.3,500,500-509.99, Pneumoconioses and other lung diseases
D14.0,212,212-212.99,Benign neoplasm of respiratory and intrathoracic organs
N07.4,580.11,580-590.99, diseases of kidney and ureters
O74,668,660-669.99,COMPLICATIONS OCCURRING MAINLY IN THE COURSE OF LABOR AND DELIVERY
T56.3,985,981-989.99, Toxic effects of substances chiefly nonmedicinal as to source
Q01,752.1,752-754.99," congenital anomalies of nervous system, spine"
M62.8,772,772-772.99, Other muscular symptoms
N83.0,628,626-628.99," menstrual/menopausal disorders, female infertility"
C94.5,200,200-204.99, cancer of lymphatic and hematopoietic tissue
N50.9,608,600-609.99, male genital disorders
P71,656.3,656-656.99,Other and unspecified perinatal conditions
O45.9,635.2,634-636.99,complications of pregnancy
G55.1,722.9,720-724.99,DORSOPATHIES
N15.0,580.32,580-590.99, diseases of kidney and ureters
T37.3,961,960-979.99,"Poisoning By Drugs, Medicinal And Biological Substances"
Q63.2,751.22,750-751.99," congenital anomalies of gi, urinary tract"
M72.2,728.7,725-729.99,"Rheumatism, Excluding The Back"
C17.8,159.2,"140-159.99, 210-211.99", cancer/benign neoplasm of gi tract
D89.0,270.31,269-270.99, Disorders of amino-acid transport/metabolism
F95.1,313.2,312-315.99,Developmental/behavioral disorders
I86.0,454,450-457.99, diseases of veins and lymphatics
Q52.6,751.11,750-751.99," congenital anomalies of gi, urinary tract"
Y83.1,851,850-859.99, Complications
G71.1,359.1,356-359.99, Disorders of the peripheral nervous system
D66,286.13,286-287.99,COAGULATION OR HEMORRHAGIC DISEASES
F51.0,327.4,327-328.99,Sleep disorders
S50.9,915,910-919.99,"superficial, contusion, crushing injuries"
T54.2,983,981-989.99, Toxic effects of substances chiefly nonmedicinal as to source
N06.5,580.11,580-590.99, diseases of kidney and ureters
Q43.1,750.21,750-751.99," congenital anomalies of gi, urinary tract"
H62.4,380.1,380-380.99, disorders of external ear
S54.1,907,905-909.99,"Late effects of injuries, poisonings, toxic effects, and other external causes"
C10.4,149.1,"140-149.99, 210-210.99","Cancer/benign neoplams of lip, oral cavity, pharynx"
F60.9,301,295-306.99, psychological disorders
Q43.5,750.21,750-751.99," congenital anomalies of gi, urinary tract"
B20.2,79,,
H25.9,366.2,366-366.99,Cataract
H18.5,364.5,360-365.99, Degenerative disorders of the eye
D10.9,210,"140-149.99, 210-210.99","Cancer/benign neoplams of lip, oral cavity, pharynx"
B33.2,420,420-425.99, Other peri-; endo-; and myocarditis
N84.8,622.1,620-623.99," dysplasia, hyperplasia, polyp of female genital organs"
G41.9,345.1,"330-337.99, 341-349.99", hereditary/degenerative nervous conditions; other diseases of CNS
R25.3,350.1,350-350.99," Other symptoms, reflex"
H54.5,367.9,367-367.99,Blindness and low vision
M54.5,760,760-760.99, Back pain
G47.3,327.3,327-328.99,Sleep disorders
Q85.1,759,756-759.99, All other congenital anomalies
R53,798,798-798.99, Malaise and fatigue
J86.9,506,500-509.99, Pneumoconioses and other lung diseases
B20.2,71.1,,
L25,939,930-949.99, allergic reactions
F98.1,313,312-315.99,Developmental/behavioral disorders
G00.3,320,320-326.9,INFLAMMATORY DISEASES OF THE CENTRAL NERVOUS SYSTEM
C08.8,145.3,"140-149.99, 210-210.99","Cancer/benign neoplams of lip, oral cavity, pharynx"
T27.5,1000,,
S16,723,720-724.99,DORSOPATHIES
O22.2,671,670-677.99,COMPLICATIONS OF THE PUERPERIUM
G90.1,752.2,752-754.99," congenital anomalies of nervous system, spine"
S16,870.6,870-879.99, Open wound
S16,1009,,
K62.9,565,565-569.99, Other gastrointestinal
D69.8,287,286-287.99,COAGULATION OR HEMORRHAGIC DISEASES
J18.0,480.5,480-488.99, Pneumonia and influenza
R01.1,396,394-399.99, heart valve disorders
D46.4,200,200-204.99, cancer of lymphatic and hematopoietic tissue
T38.1,962,960-979.99,"Poisoning By Drugs, Medicinal And Biological Substances"
A60.0,54,,
B94.1,323,320-326.9,INFLAMMATORY DISEASES OF THE CENTRAL NERVOUS SYSTEM
G93.8,348.9,"330-337.99, 341-349.99", hereditary/degenerative nervous conditions; other diseases of CNS
H65.9,381.1,381-385.99, otitis media and related conditions
A30.3,31.1,,
L02.4,686.1,680-686.99, Skin and subcutaneous tissue infections
R93.6,793,793-793.99,Nonspecific abnormal findings on radiological and other examination of body structure
T31.3,1000,,
N28.9,586,580-590.99, diseases of kidney and ureters
Q80-Q89.9,759,756-759.99, All other congenital anomalies
Q24,747.1,747-747.99," congenital anomalies, circulatory and cardiac"
K83.2,575.8,574-576.99, Biliary tract disease
D16.3,213,210-229.99,Benign Neoplasms
M22.2,741,741-742.99, other non-traumatic joint disorders
G25.9,333,"330-337.99, 341-349.99", hereditary/degenerative nervous conditions; other diseases of CNS
R25.1,350.1,350-350.99," Other symptoms, reflex"
G56.8,351,351-355.99, mononeuritis and nerve lesions
K44.1,550.2,550-550.99, Abdominal hernia
D04.1,172.3,172-173.99,Malignant neoplasm of skin
T11.8,1009,,
Y49.6,969,960-979.99,"Poisoning By Drugs, Medicinal And Biological Substances"
B90,10,,
J30,476,470-479.99, other/chronic upper respiratory disease
S94.8,907,905-909.99,"Late effects of injuries, poisonings, toxic effects, and other external causes"
M86.8,710.12,710-716.99,Arthropathies
M02.2,1011,,
D64.0,285.3,280-285.99,Anemias
I83.1,454.11,450-457.99, diseases of veins and lymphatics
D28.1,221,"217-223.99, 174-184.99",Cancer/benign neoplasm of female genital organs
S64.2,907,905-909.99,"Late effects of injuries, poisonings, toxic effects, and other external causes"
E43,1002,,
T78.9,783,783-783.99, fever
T70,1014,,
E43,277,277-277.99,Other/unspecified disorders of metabolism
S43.3,1009,,
M51.8,722,720-724.99,DORSOPATHIES
O32.9,652,652-654.99,Other and unspecified complications of birth affecting mother
D40.9,187.8,"185-187.99, 222-222.99", cancer/benign neoplasm of male genital organs
N98.9,1011,,
P04,658,658-658.99,Maternal complication of pregnancy affecting fetus or newborn
T60.4,989,981-989.99, Toxic effects of substances chiefly nonmedicinal as to source
K67,567,565-569.99, Other gastrointestinal
C39.8,165,160-165.99,Malignant neoplasm of respiratory and intrathoracic organs
S43.3,830,830-839.99, joint disorders and dislocations; trauma-related
M02.2,716.9,710-716.99,Arthropathies
Q61.1,751.21,750-751.99," congenital anomalies of gi, urinary tract"
L70.0,706.1,705-706.99, disorders of sweat and sebaceous glands
A06.8,8,,
Q05.4,752.11,752-754.99," congenital anomalies of nervous system, spine"
N27,586.11,580-590.99, diseases of kidney and ureters
H36,362.7,"250.70-250.79,360-365.99", diabetic retinopathy and degenerative disorders of the eye
E43,263,260-264.99,Nutritional deficiencies
I32,420.21,420-425.99, Other peri-; endo-; and myocarditis
S74.8,907,905-909.99,"Late effects of injuries, poisonings, toxic effects, and other external causes"
J43.8,496.1,490-498.99," chronic obstructive pulmonary disease, bronchiectasis, asthma"
R20-R23.9,687.4,687-687.99, Symptoms affecting skin
I74.0,444.2,440-449.99,"DISEASES OF ARTERIES, ARTERIOLES, AND CAPILLARIES"
K14,529,527-529.99, Diseases of mouth; excluding dental
S02.3,819,816-819.99, Intracranial injury
S71.0,870,870-879.99, Open wound
M05.9,714.1,"714-716.00, 696-696.99", Autoimmune arthritis and psoriasis
N05.3,580.11,580-590.99, diseases of kidney and ureters
Q65.6,755.61,754-756.99, congenital musculoskeletal anomalies
H93.2,389.5,387-389.99, Hearing loss and related disorders
Q63.8,751.22,750-751.99," congenital anomalies of gi, urinary tract"
D81.2,279.1,279-279.99,Other Immune Disorders
D15,212,212-212.99,Benign neoplasm of respiratory and intrathoracic organs
S71.0,871,870-879.99, Open wound
F81.8,315.1,312-315.99,Developmental/behavioral disorders
F82,315,312-315.99,Developmental/behavioral disorders
M02.8,711.2,710-716.99,Arthropathies
T95.2,1000,,
H02.9,374,369-374.99, infection/inflammation of eye
O90.5,649,649-649.99," Other conditions or status of the mother complicating pregnancy, childbirth, or the puerperium"
K38.8,540,540-540.99, appendicitis and other appendiceal conditions
Q23.0,747.12,747-747.99," congenital anomalies, circulatory and cardiac"
Q90,758.1,756-759.99, All other congenital anomalies
S24.1,952,950-957.99,Injury to nerves and spinal cord
R35,599.5,599-599.99, Other symptoms/disorders or the urinary system
B15.9,70.1,,
D19.7,229,229-229.99,Benign neoplasm of other and unspecified sites
E87.5,276.13,276-276.99,"Disorders of fluid, electrolyte, and acid-base balance"
F23.2,295.3,295-306.99, psychological disorders
N83.7,617,617-618.99, prolapse/fistula and other disorders often associated with childbirth
M02.8,711,710-716.99,Arthropathies
D00-D09.9,187,"185-187.99, 222-222.99", cancer/benign neoplasm of male genital organs
H60.3,380.1,380-380.99, disorders of external ear
Z93.5,599,599-599.99, Other symptoms/disorders or the urinary system
D81.0,279.1,279-279.99,Other Immune Disorders
T85.1,859,850-859.99, Complications
S24.1,907,905-909.99,"Late effects of injuries, poisonings, toxic effects, and other external causes"
L43.8,695.7,690-697.99, Other inflammatory condition of skin
R25.8,350.1,350-350.99," Other symptoms, reflex"
M48.1,721.8,720-724.99,DORSOPATHIES
Q10.2,749,748-749.99," congenital anomalies of respiratory system, face and neck"
N04.8,580.2,580-590.99, diseases of kidney and ureters
T78.3,946,930-949.99, allergic reactions
A02.0,8.5,,
T44.6,971,960-979.99,"Poisoning By Drugs, Medicinal And Biological Substances"
Q05.2,752.11,752-754.99," congenital anomalies of nervous system, spine"
D43.4,191,"224-225.99, 190-192.99"," cancer/benign neoplasm of eye, brain, nervous system"
L72.1,704,703-704.99, Diseases of hair and nails
G47.4,347,"330-337.99, 341-349.99", hereditary/degenerative nervous conditions; other diseases of CNS
O90.2,674,670-677.99,COMPLICATIONS OF THE PUERPERIUM
T57.3,989,981-989.99, Toxic effects of substances chiefly nonmedicinal as to source
T78.3,947,930-949.99, allergic reactions
C15.0,150,"140-159.99, 210-211.99", cancer/benign neoplasm of gi tract
L72.1,706.2,705-706.99, disorders of sweat and sebaceous glands
A21.2,480.1,480-488.99, Pneumonia and influenza
O82.0,669,660-669.99,COMPLICATIONS OCCURRING MAINLY IN THE COURSE OF LABOR AND DELIVERY
Q63.1,751.22,750-751.99," congenital anomalies of gi, urinary tract"
S48.1,872,870-879.99, Open wound
H26,366,366-366.99,Cataract
Q52.8,751.11,750-751.99," congenital anomalies of gi, urinary tract"
K92.2,578.9,578-579.99, Other diseases of digestive system
F43.9,304,295-306.99, psychological disorders
K45,550,550-550.99, Abdominal hernia
A75.9,136,130-136.99, Other infections; including parasitic
A50.3,90,,
Q91.3,758.1,756-759.99, All other congenital anomalies
K90.4,557,555-564.99, noninfective gastrointestinal disorders
J17.2,117,110-118.99, Mycoses
S20.2,916,916-916.99, Contusion
S86,1009,,
K28.6,531.1,531-531.99, gastro ulcer
C83.1,202.2,200-204.99, cancer of lymphatic and hematopoietic tissue
E23.1,258,251-259.99,Other endocrine disorders
A25.9,41,,
J95.9,519.2,519-519.99,tracheostomy complications
O33.7,652,652-654.99,Other and unspecified complications of birth affecting mother
K21,530.11,"530-530.99, 532-532.99", esophageal disorders
M99.4,720,720-724.99,DORSOPATHIES
F64.8,302,295-306.99, psychological disorders
J17.2,480,480-488.99, Pneumonia and influenza
D59.5,285.8,280-285.99,Anemias
F92.9,312,312-315.99,Developmental/behavioral disorders
F52.3,302,295-306.99, psychological disorders
I28.1,415,415-417.99,DISEASES OF PULMONARY CIRCULATION
A17.8,10,,
Q04.8,752.2,752-754.99," congenital anomalies of nervous system, spine"
G00-G09.9,323,320-326.9,INFLAMMATORY DISEASES OF THE CENTRAL NERVOUS SYSTEM
S76.1,1009,,
N85.3,674,670-677.99,COMPLICATIONS OF THE PUERPERIUM
L68.8,704.2,703-704.99, Diseases of hair and nails
A69.1,130,130-136.99, Other infections; including parasitic
C96.0,277,277-277.99,Other/unspecified disorders of metabolism
G00-G09.9,323.8,320-326.9,INFLAMMATORY DISEASES OF THE CENTRAL NERVOUS SYSTEM
P36.5,657,657-657.99,Infections specific to the perinatal period
M41.4,737.3,735-739.99, Acquired deformities
R61,705.8,705-706.99, disorders of sweat and sebaceous glands
O62.8,661,660-669.99,COMPLICATIONS OCCURRING MAINLY IN THE COURSE OF LABOR AND DELIVERY
B23.8,71.1,,
F32.1,296.2,295-306.99, psychological disorders
T44.4,971,960-979.99,"Poisoning By Drugs, Medicinal And Biological Substances"
J98.0,479,470-479.99, other/chronic upper respiratory disease
S72.9,800.2,800-809.99, Fractures
C96.0,202,200-204.99, cancer of lymphatic and hematopoietic tissue
A02.2,8.5,,
M99.5,720,720-724.99,DORSOPATHIES
G51.0,352.2,351-355.99, mononeuritis and nerve lesions
L12.1,695.22,690-697.99, Other inflammatory condition of skin
E22.0,253.11,251-259.99,Other endocrine disorders
M84.4,743.2,743-744.99," osteopenia, osteoporosis, pathological fractures"
J34.8,479,470-479.99, other/chronic upper respiratory disease
T92.2,803,800-809.99, Fractures
G94.1,331.1,"330-337.99, 341-349.99", hereditary/degenerative nervous conditions; other diseases of CNS
R91,514,514-514.99, Abnormal findings examination of lungs
T48.1,975,960-979.99,"Poisoning By Drugs, Medicinal And Biological Substances"
K74.3,571.6,570-573.99, Liver disease
T83.5,857,850-859.99, Complications
J93.8,506,500-509.99, Pneumoconioses and other lung diseases
