"phecode","phenotype","phecode_exclude_range","sex","rollup","leaf","category_number","category"
"1011","Complications of surgical and medical procedures","","Both",1,0,0,NULL
"1012","Late effect","","Both",1,0,0,NULL
"1013","Asphyxia and hypoxemia","","Both",1,0,0,NULL
"1014","Effects of heat, cold and air pressure","","Both",1,0,0,NULL
"1015","Effects of other external causes","","Both",1,0,0,NULL
"1019","Other ill-defined and unknown causes of morbidity and mortality","","Both",1,0,0,NULL
"110","Dermatophytosis / Dermatomycosis","110-118.99","",1,0,1,"infectious diseases"
"110.1","Dermatophytosis","110-118.99","Both",1,0,1,"infectious diseases"
"110.11","Dermatophytosis of nail","110-118.99","Both",1,1,1,"infectious diseases"
"110.12","Althete's foot","110-118.99","Both",1,1,1,"infectious diseases"
"110.13","Dermatophytosis of the body","110-118.99","Both",1,1,1,"infectious diseases"
"110.2","Dermatomycoses","110-118.99","Both",1,1,1,"infectious diseases"
"1100","Family history","","Both",1,0,0,NULL
"112","Candidiasis","110-118.99","Both",1,0,1,"infectious diseases"
"112.3","Candidiasis of skin and nails","110-118.99","Both",1,1,1,"infectious diseases"
"117","Mycoses","110-118.99","",1,0,1,"infectious diseases"
"117.1","Histoplasmosis","110-118.99","Both",1,1,1,"infectious diseases"
"117.2","Coccidioidomycosis","110-118.99","Both",1,1,1,"infectious diseases"
"117.3","Blastomycotic infection","110-118.99","Both",1,1,1,"infectious diseases"
"117.4","Aspergillosis","110-118.99","Both",1,1,1,"infectious diseases"
"130","Spirochetal infection","130-136.99","",1,0,1,"infectious diseases"
"130.1","Lyme disease","130-136.99","Both",1,1,1,"infectious diseases"
"131","Protozoan infection","130-136.99","Both",1,1,1,"infectious diseases"
"132","Infestation (lice, mites)","130-136.99","",1,0,1,"infectious diseases"
"132.1","Pediculosis and phthirus infestation","130-136.99","Both",1,1,1,"infectious diseases"
"133","Arthropod-borne diseases","130-136.99","",1,1,1,"infectious diseases"
"134","Helminthiases","130-136.99","",1,0,1,"infectious diseases"
"134.1","Intestinal helminthiases","130-136.99","Both",1,1,1,"infectious diseases"
"136","Other infectious and parasitic diseases","130-136.99","",1,1,1,"infectious diseases"
"145","Cancer of mouth","140-149.99, 210-210.99","Both",1,0,2,"neoplasms"
"145.1","Cancer of lip","140-149.99, 210-210.99","Both",1,1,2,"neoplasms"
"145.2","Cancer of tongue","140-149.99, 210-210.99","Both",1,1,2,"neoplasms"
"145.3","Cancer of major salivary glands","140-149.99, 210-210.99","Both",1,1,2,"neoplasms"
"145.4","Cancer of the gums","140-149.99, 210-210.99","Both",1,1,2,"neoplasms"
"145.5","Cancer of the mouth floor","140-149.99, 210-210.99","Both",1,1,2,"neoplasms"
"149","Cancer of larynx, pharynx, nasal cavities","140-149.99, 210-210.99","Both",1,0,2,"neoplasms"
"149.1","Cancer of oropharynx","140-149.99, 210-210.99","Both",1,1,2,"neoplasms"
"149.2","Cancer of nasopharynx","140-149.99, 210-210.99","Both",1,1,2,"neoplasms"
"149.3","Cancer of hypopharynx","140-149.99, 210-210.99","Both",1,1,2,"neoplasms"
"149.4","Cancer of larynx","140-149.99, 210-210.99","Both",1,1,2,"neoplasms"
"149.5","Hx of malignant neoplasm of oral cavity and pharynx","140-149.99, 210-210.99","Both",1,1,2,"neoplasms"
"149.9","Cancer of of nasal cavities","140-149.99, 210-210.99","Both",1,1,2,"neoplasms"
"150","Cancer of esophagus","140-159.99, 210-211.99","",1,1,2,"neoplasms"
"151","Cancer of stomach","140-159.99, 210-211.99","",1,1,2,"neoplasms"
"153","Colorectal cancer","150-159.99, 208-208.99","Both",1,0,2,"neoplasms"
"153.2","Colon cancer","150-159.99, 208-208.99","Both",1,1,2,"neoplasms"
"153.3","Malignant neoplasm of rectum, rectosigmoid junction, and anus","150-159.99, 208-208.99","Both",1,1,2,"neoplasms"
"155","Cancer of liver and intrahepatic bile duct","140-159.99, 210-211.99","",1,0,2,"neoplasms"
"155.1","Malignant neoplasm of liver, primary","140-159.99, 210-211.99","Both",1,1,2,"neoplasms"
"157","Pancreatic cancer","140-159.99, 210-211.99","",1,1,2,"neoplasms"
"158","Neoplasm of unspecified nature of digestive system","140-159.99, 210-211.99","Both",1,1,2,"neoplasms"
"159","Malignant neoplasm of other and ill-defined sites within the digestive organs and peritoneum","140-159.99, 210-211.99","",1,0,2,"neoplasms"
"159.2","Malignant neoplasm of small intestine, including duodenum","140-159.99, 210-211.99","Both",1,1,2,"neoplasms"
"159.3","Malignant neoplasm of gallbladder and extrahepatic bile ducts","140-159.99, 210-211.99","Both",1,1,2,"neoplasms"
"159.4","Malignant neoplasm of retroperitoneum and peritoneum","140-159.99, 210-211.99","Both",1,1,2,"neoplasms"
"164","Cancer of intrathoracic organs","160-165.99","",1,1,2,"neoplasms"
"165","Cancer within the respiratory system","160-165.99","",1,0,2,"neoplasms"
"165.1","Cancer of bronchus; lung","160-165.99","Both",1,1,2,"neoplasms"
"170","Cancer of bone and connective tissue","170-171.99","",1,0,2,"neoplasms"
"170.1","Bone cancer","170-171.99","Both",1,1,2,"neoplasms"
"170.2","Cancer of connective tissue","170-171.99","Both",1,1,2,"neoplasms"
"172","Skin cancer","172-173.99","",1,0,2,"neoplasms"
"172.1","Melanomas of skin, dx or hx","172-173.99","Both",1,0,2,"neoplasms"
"172.11","Melanomas of skin","172-173.99","Both",1,1,2,"neoplasms"
"172.2","Other non-epithelial cancer of skin","172-173.99","Both",1,0,2,"neoplasms"
"172.21","Basal cell carcinoma","172-173.99","Both",1,1,2,"neoplasms"
"172.22","Squamous cell carcinoma","172-173.99","Both",1,1,2,"neoplasms"
"172.3","Carcinoma in situ of skin","172-173.99","Both",1,1,2,"neoplasms"
"173","Neoplasm of uncertain behavior of skin","172-173.99","Both",1,1,2,"neoplasms"
"174","Breast cancer","174-184.99, 610-610.99","Both",1,0,2,"neoplasms"
"174.1","Breast cancer [female]","174-184.99, 610-610.99","Female",1,0,2,"neoplasms"
"174.11","Malignant neoplasm of female breast","174-184.99, 610-610.99","Female",1,1,2,"neoplasms"
"174.2","Breast cancer [male]","174-184.99, 610-610.99","Male",1,1,2,"neoplasms"
"174.3","Neoplasm of uncertain behavior of breast","174-184.99, 610-610.99","Both",1,1,2,"neoplasms"
"175","Acquired absence of breast","174-184.99, 610-611.99","Female",1,1,2,"neoplasms"
"180","Cervical cancer and dysplasia","174-184.99, 218-218.99, 792-792.99","Female",1,0,2,"neoplasms"
"180.1","Cervical cancer","174-184.99, 218-218.99, 792-792.99","Female",1,1,2,"neoplasms"
"180.3","Cervical intraepithelial neoplasia [CIN] [Cervical dysplasia]","174-184.99, 218-218.99, 792-792.99","Female",1,1,2,"neoplasms"
"182","Malignant neoplasm of uterus","174-184.99, 218-218.99","Female",1,1,2,"neoplasms"
"184","Cancer of other female genital organs","174-184.99, 220-221.99","Female",1,0,2,"neoplasms"
"184.1","Malignant neoplasm of ovary and other uterine adnexa","174-184.99, 220-221.99","Female",1,0,2,"neoplasms"
"184.11","Malignant neoplasm of ovary","174-184.99, 220-221.99","Female",1,1,2,"neoplasms"
"184.2","Cancer of other female genital organs (excluding uterus and ovary)","174-184.99, 220-221.99","Female",1,1,2,"neoplasms"
"185","Cancer of prostate","185-187.99, 796-796.99, 600-602.99","Male",1,1,2,"neoplasms"
"187","Cancer of other male genital organs","185-187.99, 222-222.99","Male",1,0,2,"neoplasms"
"187.1","Malignant neoplasm of unspecified male genital organ","185-187.99, 222-222.99","Male",1,1,2,"neoplasms"
"187.2","Malignant neoplasm of testis","185-187.99, 222-222.99","Male",1,1,2,"neoplasms"
"187.8","Neoplasm of uncertain behavior of male genital organs","185-187.99, 222-222.99","Male",1,1,2,"neoplasms"
"189","Cancer of urinary organs (incl. kidney and bladder)","188-189.99","",1,0,2,"neoplasms"
"189.1","Cancer of kidney and renal pelvis","188-189.99","Both",1,0,2,"neoplasms"
"189.11","Malignant neoplasm of kidney, except pelvis","188-189.99","Both",1,1,2,"neoplasms"
"189.12","Malignant neoplasm of renal pelvis","188-189.99","Both",1,1,2,"neoplasms"
"189.2","Cancer of bladder","188-189.99","Both",1,0,2,"neoplasms"
"189.21","Malignant neoplasm of bladder","188-189.99","Both",1,1,2,"neoplasms"
"189.4","Malignant neoplasm of other urinary organs","188-189.99","Both",1,1,2,"neoplasms"
"190","Cancer of eye","224-225.99, 190-192.99","",1,1,2,"neoplasms"
"191","Manlignant and unknown neoplasms of brain and nervous system","224-225.99, 190-192.99","",1,0,2,"neoplasms"
"191.1","Cancer of brain and nervous system","224-225.99, 190-192.99","Both",1,0,2,"neoplasms"
"191.11","Cancer of brain","224-225.99, 190-192.99","Both",1,1,2,"neoplasms"
"193","Thyroid cancer","193-194.99, 226-227.99","",1,1,2,"neoplasms"
"194","Cancer of other endocrine glands","193-194.99, 226-227.99","",1,1,2,"neoplasms"
"195","Cancer, suspected or other","195-199.99","",1,0,2,"neoplasms"
"195.1","Malignant neoplasm, other","195-199.99","Both",1,1,2,"neoplasms"
"195.3","Malignant neoplasm of head, face, and neck","195-199.99","Both",1,0,2,"neoplasms"
"196","Radiotherapy","195-199.99","",1,1,2,"neoplasms"
"197","Chemotherapy","195-199.99","",1,1,2,"neoplasms"
"198","Secondary malignant neoplasm","195-199.99","",1,0,2,"neoplasms"
"198.1","Secondary malignancy of lymph nodes","195-199.99","Both",1,1,2,"neoplasms"
"198.2","Secondary malignancy of respiratory organs","195-199.99","Both",1,1,2,"neoplasms"
"198.3","Secondary malignant neoplasm of digestive systems","195-199.99","Both",1,1,2,"neoplasms"
"198.4","Secondary malignant neoplasm of liver","195-199.99","Both",1,1,2,"neoplasms"
"198.5","Secondary malignancy of brain/spine","195-199.99","Both",1,1,2,"neoplasms"
"198.6","Secondary malignancy of bone","195-199.99","Both",1,1,2,"neoplasms"
"198.7","Secondary malignant neoplasm of skin","195-199.99","Both",1,1,2,"neoplasms"
"199","Neoplasm of uncertain behavior","195-199.99","Both",1,0,2,"neoplasms"
"199.4","Neurofibromatosis","195-199.99","Both",1,1,2,"neoplasms"
"200","Myeloproliferative disease","200-204.99","",1,0,2,"neoplasms"
"200.1","Polycythemia vera","200-204.99, 289-289.99","Both",1,1,2,"neoplasms"
"201","Hodgkin's disease","200-204.99","",1,1,2,"neoplasms"
"202","Cancer of other lymphoid, histiocytic tissue","200-204.99","",1,0,2,"neoplasms"
"202.2","Non-Hodgkins lymphoma","200-204.99","Both",1,0,2,"neoplasms"
"202.21","Nodular lymphoma","200-204.99","Both",1,1,2,"neoplasms"
"202.22","Reticulosarcoma","200-204.99","Both",1,1,2,"neoplasms"
"202.23","Lymphosarcoma","200-204.99","Both",1,1,2,"neoplasms"
"202.24","Large cell lymphoma","200-204.99","Both",1,1,2,"neoplasms"
"204","Leukemia","200-204.99","",1,0,2,"neoplasms"
"204.1","Lymphoid leukemia","200-204.99","Both",1,0,2,"neoplasms"
"204.11","Lymphoid leukemia, acute","200-204.99","Both",1,1,2,"neoplasms"
"204.12","Lymphoid leukemia, chronic","200-204.99","Both",1,1,2,"neoplasms"
"204.2","Myeloid leukemia","200-204.99","Both",1,0,2,"neoplasms"
"204.21","Myeloid leukemia, acute","200-204.99","Both",1,1,2,"neoplasms"
"204.22","Myeloid leukemia, chronic","200-204.99","Both",1,1,2,"neoplasms"
"204.3","Monocytic leukemia","200-204.99","Both",1,1,2,"neoplasms"
"204.4","Multiple myeloma","200-204.99","Both",1,1,2,"neoplasms"
"208","Benign neoplasm of colon","153-153.99, 208-208.99","",1,1,2,"neoplasms"
"209","Neuroendocrine tumors","209-209.99","",1,1,2,"neoplasms"
"210","Benign neoplasm of lip, oral cavity, and pharynx","140-149.99, 210-210.99","",1,1,2,"neoplasms"
"211","Benign neoplasm of other parts of digestive system","211-211.99, 150-159.99","",1,1,2,"neoplasms"
"212","Benign neoplasm of respiratory and intrathoracic organs","212-212.99","",1,1,2,"neoplasms"
"213","Benign neoplasm of bone and articular cartilage","210-229.99","",1,1,2,"neoplasms"
"214","Lipoma","214-215.99","",1,0,2,"neoplasms"
"214.1","Lipoma of skin and subcutaneous tissue","214-215.99","Both",1,1,2,"neoplasms"
"215","Other benign neoplasm of connective and other soft tissue","214-215.99","",1,1,2,"neoplasms"
"216","Benign neoplasm of skin","216-217.99","",1,1,2,"neoplasms"
"216.1","Screening for malignant neoplasms of the skin","216-217.99","Both",0,1,2,"neoplasms"
"217","Vascular hamartomas and non-neoplastic nevi","216-217.99","Both",1,0,2,"neoplasms"
"217.1","Nevus, non-neoplastic","216-217.99","Both",1,1,2,"neoplasms"
"218","Benign neoplasm of uterus","217-223.99, 180-184.99","Female",1,0,2,"neoplasms"
"218.1","Uterine leiomyoma","217-223.99, 180-184.99","Female",1,1,2,"neoplasms"
"218.2","Other benign neoplasm of uterus","217-223.99, 180-184.99","Female",1,1,2,"neoplasms"
"220","Benign neoplasm of ovary","174-184.99, 217-221.99","Female",1,1,2,"neoplasms"
"221","Benign neoplasm of other female genital organs","217-223.99, 174-184.99","Female",1,1,2,"neoplasms"
"222","Benign neoplasm of male genital organs","185-187.99, 222-222.99","Male",1,1,2,"neoplasms"
"223","Benign neoplasm of kidney and other urinary organs","210-229.99","",1,1,2,"neoplasms"
"224","Benign neoplasm of eye","224-225.99, 190-192.99","Both",1,0,2,"neoplasms"
"224.1","Benign neoplasm of eye, uveal","224-225.99, 190-192.99","Both",1,1,2,"neoplasms"
"225","Benign neoplasm of brain and other parts of nervous system","224-225.99, 190-192.99","",1,0,2,"neoplasms"
"225.1","Benign neoplasm of brain, cranial nerves, meninges","224-225.99, 190-192.99","Both",1,1,2,"neoplasms"
"225.2","Benign neoplasm of spinal cord, meninges","224-225.99, 190-192.99","Both",1,1,2,"neoplasms"
"226","Benign neoplasm of thyroid glands","193-194.99, 226-227.99","",1,1,2,"neoplasms"
"227","Benign neoplasm of other endocrine glands and related structures","193-194.99, 226-227.99","",1,0,2,"neoplasms"
"227.1","Benign neoplasm of adrenal gland","193-194.99, 226-227.99","Both",1,1,2,"neoplasms"
"227.2","Benign neoplasm of parathyroid gland","193-194.99, 226-227.99","Both",1,1,2,"neoplasms"
"227.3","Benign neoplasm of pituitary gland and craniopharyngeal duct (pouch)","193-194.99, 226-227.99","Both",1,1,2,"neoplasms"
"228","Hemangioma and lymphangioma, any site","228-228.99","Both",1,0,2,"neoplasms"
"228.1","Hemangioma of skin and subcutaneous tissue","228-228.99","Both",1,1,2,"neoplasms"
"229","Benign neoplasm of unspecified sites","229-229.99","",1,0,2,"neoplasms"
"229.1","Benign neoplasm of lymph nodes","229-229.99","Both",1,1,2,"neoplasms"
"230","Kaposi's sarcoma","230-230.99","",1,1,2,"neoplasms"
"240","Simple and unspecified goiter","240-246.99","",1,1,3,"endocrine/metabolic"
"241","Nontoxic nodular goiter","240-246.99","Both",1,0,3,"endocrine/metabolic"
"241.1","Nontoxic uninodular goiter","240-246.99","Both",1,1,3,"endocrine/metabolic"
"241.2","Nontoxic multinodular goiter","240-246.99","Both",1,1,3,"endocrine/metabolic"
"242","Thyrotoxicosis with or without goiter","240-246.99","",1,0,3,"endocrine/metabolic"
"242.1","Graves' disease","240-246.99","",1,1,3,"endocrine/metabolic"
"242.2","Toxic multinodular goiter","240-246.99","Both",1,1,3,"endocrine/metabolic"
"242.3","Exophthalmos","240-246.99","Both",0,0,3,"endocrine/metabolic"
"242.31","Thyrotoxic exophthalmos","240-246.99","Both",1,1,3,"endocrine/metabolic"
"244","Hypothyroidism","240-246.99","Both",1,0,3,"endocrine/metabolic"
"244.1","Secondary hypothyroidism","240-246.99","",1,1,3,"endocrine/metabolic"
"244.2","Acquired hypothyroidism","240-246.99","Both",1,1,3,"endocrine/metabolic"
"244.3","Iodine hypothyroidism","240-246.99","Both",1,1,3,"endocrine/metabolic"
"244.4","Hypothyroidism NOS","240-246.99","Both",1,1,3,"endocrine/metabolic"
"244.5","Congenital hypothyroidism","240-246.99","Both",1,1,3,"endocrine/metabolic"
"245","Thyroiditis","240-246.99","Both",1,0,3,"endocrine/metabolic"
"245.1","Thyroiditis, acute and subacute","240-246.99","Both",1,1,3,"endocrine/metabolic"
"245.2","Chronic thyroiditis","240-246.99","Both",1,0,3,"endocrine/metabolic"
"245.21","Chronic lymphocytic thyroiditis","240-246.99","Both",1,1,3,"endocrine/metabolic"
"246","Other disorders of thyroid","240-246.99","Both",1,0,3,"endocrine/metabolic"
"246.2","Thyroid cyst","240-246.99","Both",1,1,3,"endocrine/metabolic"
"246.7","Abnormal results of function study of thyroid","240-246.99","Both",0,1,3,"endocrine/metabolic"
"249","Secondary diabetes mellitus","249-250.99","",1,1,3,"endocrine/metabolic"
"250","Diabetes mellitus","249-250.99","Both",1,0,3,"endocrine/metabolic"
"250.1","Type 1 diabetes","249-250.99","Both",1,0,3,"endocrine/metabolic"
"250.11","Type 1 diabetes with ketoacidosis","249-250.99","Both",1,1,3,"endocrine/metabolic"
"250.12","Type 1 diabetes with renal manifestations","249-250.99","Both",1,1,3,"endocrine/metabolic"
"250.13","Type 1 diabetes with ophthalmic manifestations","249-250.99","Both",1,1,3,"endocrine/metabolic"
"250.14","Type 1 diabetes with neurological manifestations","249-250.99","Both",1,1,3,"endocrine/metabolic"
"250.15","Diabetes type 1 with peripheral circulatory disorders","249-250.99","Both",1,1,3,"endocrine/metabolic"
"250.2","Type 2 diabetes","249-250.99","Both",1,0,3,"endocrine/metabolic"
"250.21","Type 2 diabetes with ketoacidosis","249-250.99","Both",1,1,3,"endocrine/metabolic"
"250.22","Type 2 diabetes with renal manifestations","249-250.99","Both",1,1,3,"endocrine/metabolic"
"250.23","Type 2 diabetes with ophthalmic manifestations","249-250.99","Both",1,1,3,"endocrine/metabolic"
"250.24","Type 2 diabetes with neurological manifestations","249-250.99","Both",1,1,3,"endocrine/metabolic"
"250.25","Diabetes type 2 with peripheral circulatory disorders","249-250.99","Both",1,1,3,"endocrine/metabolic"
"250.3","Insulin pump user","249-250.99","Both",1,1,3,"endocrine/metabolic"
"250.4","Abnormal glucose","249-250.99","Both",0,0,3,"endocrine/metabolic"
"250.41","Impaired fasting glucose","249-250.99","Both",1,1,3,"endocrine/metabolic"
"250.42","Other abnormal glucose","249-250.99","Both",1,1,3,"endocrine/metabolic"
"250.5","Glycosuria or Acetonuria","249-250.99","Both",1,1,3,"endocrine/metabolic"
"250.6","Polyneuropathy in diabetes","249-250.99","Both",1,1,3,"endocrine/metabolic"
"250.7","Diabetic retinopathy","250.70-250.79,360-365.99","Both",1,1,3,"endocrine/metabolic"
"251","Other disorders of pancreatic internal secretion","251-259.99","Both",1,0,3,"endocrine/metabolic"
"251.1","Hypoglycemia","249-259.99","Both",0,1,3,"endocrine/metabolic"
"251.8","Abnormality of secretion of glucagon or gastrin","251-259.99","Both",1,1,3,"endocrine/metabolic"
"252","Disorders of parathyroid gland","251-259.99","",1,0,3,"endocrine/metabolic"
"252.1","Hyperparathyroidism","251-259.99","",1,1,3,"endocrine/metabolic"
"252.2","Hypoparathyroidism","251-259.99","Both",1,1,3,"endocrine/metabolic"
"253","Disorders of the pituitary gland and its hypothalamic control","251-259.99","",1,0,3,"endocrine/metabolic"
"253.1","Pituitary hyperfunction","251-259.99","Both",1,0,3,"endocrine/metabolic"
"253.11","Acromegaly and gigantism","251-259.99","Both",1,1,3,"endocrine/metabolic"
"253.2","Pituitary hypofunction","251-259.99","Both",1,1,3,"endocrine/metabolic"
"253.3","Diabetes insipidus","251-259.99","Both",1,1,3,"endocrine/metabolic"
"253.4","Anterior pituitary disorders","251-259.99","Both",1,1,3,"endocrine/metabolic"
"253.5","Pituitary dwarfism","251-259.99","Both",1,1,3,"endocrine/metabolic"
"253.7","Other disorders of neurohypophysis","251-259.99","Both",1,1,3,"endocrine/metabolic"
"254","Diseases of thymus gland","251-259.99","Both",1,1,3,"endocrine/metabolic"
"255","Disorders of adrenal glands","251-259.99","",1,0,3,"endocrine/metabolic"
"255.1","Adrenal hyperfunction","251-259.99","Both",1,0,3,"endocrine/metabolic"
"255.11","Cushing's syndrome","251-259.99","Both",1,1,3,"endocrine/metabolic"
"255.12","Hyperaldosteronism","251-259.99","Both",1,1,3,"endocrine/metabolic"
"255.13","Medulloadrenal hyperfunction","251-259.99","Both",1,1,3,"endocrine/metabolic"
"255.2","Adrenal hypofunction","251-259.99","Both",1,0,3,"endocrine/metabolic"
"255.21","Glucocorticoid deficiency","251-259.99","Both",1,1,3,"endocrine/metabolic"
"255.22","Mineralocorticoid deficiency","251-259.99","Both",1,1,3,"endocrine/metabolic"
"255.3","Adrenogenital disorders","251-259.99","Both",1,1,3,"endocrine/metabolic"
"256","Ovarian dysfunction","251-259.99","Female",1,0,3,"endocrine/metabolic"
"256.1","Hyperestrogenism","251-259.99","Both",1,1,3,"endocrine/metabolic"
"256.4","Polycystic ovaries","251-259.99","Female",1,1,3,"endocrine/metabolic"
"257","Testicular dysfunction","251-259.99","Male",1,0,3,"endocrine/metabolic"
"257.1","Testicular hypofunction","251-259.99","Male",1,1,3,"endocrine/metabolic"
"258","Iatrogenic endocrine disorders","251-259.99","",1,1,3,"endocrine/metabolic"
"258.1","Postablative ovarian failure","251-259.99","Female",0,1,3,"endocrine/metabolic"
"259","Other endocrine disorders","251-259.99","",1,0,3,"endocrine/metabolic"
"259.1","Nonspecific abnormal results of other endocrine function study","251-259.99","Both",1,1,3,"endocrine/metabolic"
"259.2","Carcinoid syndrome","251-259.99","Both",0,1,3,"endocrine/metabolic"
"259.3","Delay in sexual development and puberty NEC","251-259.99","Both",0,1,3,"endocrine/metabolic"
"259.4","Precocious sexual development and puberty NEC","251-259.99","Both",0,1,3,"endocrine/metabolic"
"259.8","Polyglandular activity in multiple endocrine adenomatosis","251-259.99","Both",0,1,3,"endocrine/metabolic"
"260","Protein-calorie malnutrition","260-264.99","",1,0,3,"endocrine/metabolic"
"260.1","Cachexia","260-264.99","Both",0,1,3,"endocrine/metabolic"
"260.2","severe protein-calorie malnutrition","260-264.99","Both",1,0,3,"endocrine/metabolic"
"260.21","Kwashiorkor","260-264.99","Both",1,1,3,"endocrine/metabolic"
"260.22","Nutritional marasmus","260-264.99","Both",1,1,3,"endocrine/metabolic"
"260.3","Adult failure to thrive","260-264.99","Both",1,1,3,"endocrine/metabolic"
"260.6","Anorexia","260-264.99","Both",0,1,3,"endocrine/metabolic"
"260.7","Polyphagia","260-264.99","Both",0,1,3,"endocrine/metabolic"
"261","Vitamin deficiency","260-264.99","Both",1,0,3,"endocrine/metabolic"
"261.1","Vitamin A deficiency","260-264.99","Both",1,1,3,"endocrine/metabolic"
"261.2","Vitamin B-complex deficiencies","260-264.99","Both",1,1,3,"endocrine/metabolic"
"261.3","Vitamin C deficiencies","260-264.99","Both",1,1,3,"endocrine/metabolic"
"261.4","Vitamin D deficiency","260-264.99","Both",1,0,3,"endocrine/metabolic"
"261.41","Rickets or osteomalacia","260-264.99","Both",1,1,3,"endocrine/metabolic"
"262","Mineral deficiency NEC","260-264.99","Both",1,1,3,"endocrine/metabolic"
"263","Other nutritional deficiency","260-264.99","",1,1,3,"endocrine/metabolic"
"264","Lack of normal physiological development","260-264.99","",1,0,3,"endocrine/metabolic"
"264.1","Short stature","260-264.99","Both",1,1,3,"endocrine/metabolic"
"264.2","Failure to thrive (childhood)","260-264.99","Both",1,1,3,"endocrine/metabolic"
"264.3","Delayed milestones","260-264.99","Both",1,1,3,"endocrine/metabolic"
"264.9","Lack of normal physiological development, unspecified","260-264.99","Both",1,1,3,"endocrine/metabolic"
